algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.9705882352941176,0.9594594594594594,0.9637217242851046
LMNN,poisoned_synthetic,(106|2|2),0,0,0.5529411764705883,0.5534330011074198,0.5537904124860646,0.5523835920177383
MMC_Supervised,wine,(178|13|3),0,0,0.7552447552447552,0.7621143871143872,0.7602171136653896,0.7419527078565981
LSML_Supervised,wine,(178|13|3),0,0,0.7902097902097902,0.796060606060606,0.787324393358876,0.7885319288469607
ITML_Supervised,wine,(178|13|3),0,0,0.965034965034965,0.9663454270597128,0.9636118598382749,0.9647270872939965
NCA,wine,(178|13|3),0,0,0.7412587412587412,0.725625717566016,0.7115149521164558,0.7115626309174696
MLKR,wine,(178|13|3),0,0,0.6643356643356644,0.6564551119954677,0.6470318126778946,0.6481175390266299
LFDA,wine,(178|13|3),0,0,0.8811188811188811,0.8768778829361201,0.8877923976608187,0.8793525753693467
LMNN,wine,(178|13|3),0,0,0.8111888111888111,0.8569305091044223,0.7911320754716981,0.7973648828471985
NCA,ionosphere,(351|34|2),0,0,0.7153024911032029,0.770184361093452,0.6369642281662907,0.6298735511064277
LMNN,ionosphere,(351|34|2),0,0,0.8576512455516014,0.8913280908693753,0.8011261766024205,0.8252487562189055
MMC_Supervised,soybean,(150|4|3),0,0,0.9583333333333334,0.9609250398724084,0.959349593495935,0.959295110449243
LSML_Supervised,soybean,(150|4|3),0,0,0.9,0.9259259259259259,0.9,0.8995098039215685
ITML_Supervised,soybean,(150|4|3),0,0,0.975,0.9747308283893649,0.9741228070175438,0.974320987654321
NCA,soybean,(150|4|3),0,0,0.9583333333333334,0.9589430894308943,0.9589430894308943,0.9588477366255144
MLKR,soybean,(150|4|3),0,0,0.9583333333333334,0.9576965669988926,0.9563492063492064,0.9569179784589892
LFDA,soybean,(150|4|3),0,0,0.9416666666666667,0.9430894308943089,0.9432539682539683,0.9430809658386633
LMNN,soybean,(150|4|3),0,0,0.9666666666666667,0.9659909909909911,0.9655870445344129,0.9653621232568601
MMC_Supervised,iris,(150|4|3),0,0,0.9666666666666667,0.9657894736842104,0.9657894736842104,0.9657894736842105
LSML_Supervised,iris,(150|4|3),0,0,0.9583333333333334,0.9629629629629629,0.9583333333333334,0.9581699346405229
ITML_Supervised,iris,(150|4|3),0,0,0.975,0.9767441860465116,0.9743589743589745,0.9746184738955823
NCA,iris,(150|4|3),0,0,0.925,0.9375,0.9318181818181818,0.9275425578350065
MLKR,iris,(150|4|3),0,0,0.9333333333333333,0.9340804218852998,0.9362126245847177,0.9315789473684211
LFDA,iris,(150|4|3),0,0,0.9333333333333333,0.9420289855072465,0.937984496124031,0.934065934065934
LMNN,iris,(150|4|3),0,0,0.9,0.9245283018867925,0.9047619047619048,0.9018912529550827
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.52,0.5084459459459459,0.3980911330049261
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.47058823529411764,0.49043062200956933,0.49331103678929766,0.43956043956043955
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.5411764705882353,0.5442307692307693,0.5318736141906873,0.5014287862836517
NCA,poisoned_synthetic,(106|2|2),0,0,0.49411764705882355,0.7440476190476191,0.5113636363636364,0.35022222222222216
MLKR,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.4957002457002457,0.498040313549832,0.3980911330049261
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9764705882352941,0.98,0.972972972972973,0.975907029478458
LMNN,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.9680851063829787,0.9634146341463414,0.9645291417443317
MMC_Supervised,wine,(178|13|3),0,0,0.7902097902097902,0.7883856929144567,0.7990426867545511,0.7832523726790294
LSML_Supervised,wine,(178|13|3),0,0,0.8181818181818182,0.8268817204301077,0.8202480445730206,0.8157248157248157
ITML_Supervised,wine,(178|13|3),0,0,0.965034965034965,0.9642043479939763,0.9693701466781709,0.9662334569455312
NCA,wine,(178|13|3),0,0,0.6503496503496503,0.6895202358616993,0.6322055137844612,0.641367174317136
MLKR,wine,(178|13|3),0,0,0.7202797202797203,0.7432340541275669,0.7321311348804881,0.7234207631289444
LFDA,wine,(178|13|3),0,0,0.7762237762237763,0.7831950306754338,0.8044171220400728,0.7920366274404377
LMNN,wine,(178|13|3),0,0,0.8391608391608392,0.8380018674136321,0.8324477368808906,0.8341081461824497
NCA,ionosphere,(351|34|2),0,0,0.8078291814946619,0.8531746031746033,0.7437287764267718,0.762282240882316
LMNN,ionosphere,(351|34|2),0,0,0.7651245551601423,0.8653061224489795,0.6764705882352942,0.6830393765381461
MMC_Supervised,soybean,(150|4|3),0,0,0.9583333333333334,0.9586466165413534,0.9580988117573485,0.9582746570698378
LSML_Supervised,soybean,(150|4|3),0,0,0.9416666666666667,0.9457516339869282,0.9403846153846155,0.9405855492882084
ITML_Supervised,soybean,(150|4|3),0,0,0.9416666666666667,0.9401709401709403,0.9403508771929824,0.9401611047180668
NCA,soybean,(150|4|3),0,0,0.9833333333333333,0.9841269841269842,0.983739837398374,0.9835365853658536
MLKR,soybean,(150|4|3),0,0,0.9583333333333334,0.9603174603174603,0.959349593495935,0.9572579319414762
LFDA,soybean,(150|4|3),0,0,0.9833333333333333,0.9833333333333334,0.982905982905983,0.9826810616284302
LMNN,soybean,(150|4|3),0,0,0.9416666666666667,0.9513888888888888,0.9430894308943089,0.9426716604244695
MMC_Supervised,iris,(150|4|3),0,0,0.9833333333333333,0.982905982905983,0.9848484848484849,0.9834761321909425
LSML_Supervised,iris,(150|4|3),0,0,0.9416666666666667,0.941938178780284,0.9414217219095268,0.9415845198977729
ITML_Supervised,iris,(150|4|3),0,0,0.9583333333333334,0.9567128103713469,0.9576719576719577,0.9570886284865489
NCA,iris,(150|4|3),0,0,0.9666666666666667,0.9665831244778612,0.9665831244778612,0.9665831244778612
MLKR,iris,(150|4|3),0,0,0.9166666666666666,0.9158249158249158,0.9158249158249158,0.9158249158249158
LFDA,iris,(150|4|3),0,0,0.9666666666666667,0.9677351770375027,0.9662288930581614,0.9665831244778613
LMNN,iris,(150|4|3),0,0,0.975,0.9736842105263158,0.9738969738969739,0.9736796536796537
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.47058823529411764,0.4884672619047619,0.49136008918617613,0.4457325025358644
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.4470588235294118,0.35876623376623373,0.4518272425249169,0.34173669467787116
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.43529411764705883,0.42889137737961924,0.42889137737961924,0.42889137737961924
NCA,poisoned_synthetic,(106|2|2),0,0,0.5764705882352941,0.6088657105606259,0.5930880713489409,0.5663265306122449
MLKR,poisoned_synthetic,(106|2|2),0,0,0.49411764705882355,0.5294117647058824,0.5189520624303233,0.4577955792909064
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9411764705882353,0.9416666666666667,0.9406873614190687,0.9410459148286864
LMNN,poisoned_synthetic,(106|2|2),0,0,0.43529411764705883,0.44563918757467147,0.4490481522956327,0.431438127090301
MMC_Supervised,wine,(178|13|3),0,0,0.7762237762237763,0.8247483880395272,0.7485380116959064,0.7623093681917211
LSML_Supervised,wine,(178|13|3),0,0,0.7762237762237763,0.8242888064316637,0.7641605099232218,0.7589401086668847
ITML_Supervised,wine,(178|13|3),0,0,0.9440559440559441,0.9417813637082739,0.9548022598870056,0.9453130159928292
NCA,wine,(178|13|3),0,0,0.6643356643356644,0.4688644688644688,0.6336553945249598,0.5338024865118461
MLKR,wine,(178|13|3),0,0,0.6433566433566433,0.6025396825396826,0.6163170607678617,0.6017174203470065
LFDA,wine,(178|13|3),0,0,0.7692307692307693,0.792022792022792,0.7565612490507266,0.7670645852464034
LMNN,wine,(178|13|3),0,0,0.8671328671328671,0.8705065359477123,0.8787477058153751,0.8649388468258591
