algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
LSML_Supervised,breast_cancer,(699|9|2),0,0.3,0.9685714285714285,0.9656277630415562,0.9636293606250688,0.9646175478582129
ITML_Supervised,breast_cancer,(699|9|2),0,0,0.9571428571428572,0.9550456696379443,0.9494565217391304,0.9521557262760751
ITML_Supervised,breast_cancer,(699|9|2),0,0.1,0.9628571428571429,0.9572931746760355,0.9621395946331716,0.9596269709580387
ITML_Supervised,breast_cancer,(699|9|2),0,0.2,0.9428571428571428,0.9463459759481961,0.9288888888888889,0.9365942028985507
ITML_Supervised,breast_cancer,(699|9|2),0,0.3,0.96,0.9587710084033614,0.9505231358679634,0.9544677371394588
NCA,breast_cancer,(699|9|2),0,0,0.9657142857142857,0.9678075855689177,0.9562596990147605,0.9616452367036821
NCA,breast_cancer,(699|9|2),0,0.1,0.9457142857142857,0.9392795513373597,0.9409758562200008,0.9401176036235603
NCA,breast_cancer,(699|9|2),0,0.2,0.9514285714285714,0.9486262426176589,0.9431159420289854,0.9457764897795518
NCA,breast_cancer,(699|9|2),0,0.3,0.9571428571428572,0.9539772727272727,0.9475187633023412,0.9506444425642328
MLKR,breast_cancer,(699|9|2),0,0,0.9714285714285714,0.9660808867375215,0.9724444444444444,0.9691041982980828
MLKR,breast_cancer,(699|9|2),0,0.1,0.9457142857142857,0.9506553153354991,0.9306665715101341,0.9393972532830285
MLKR,breast_cancer,(699|9|2),0,0.2,0.9657142857142857,0.9613174182139699,0.9613174182139699,0.9613174182139699
MLKR,breast_cancer,(699|9|2),0,0.3,0.9514285714285714,0.9502437826651233,0.9460661662496525,0.948070763403416
LFDA,breast_cancer,(699|9|2),0,0,0.96,0.9486812662778328,0.9610614798899317,0.9544677371394588
LFDA,breast_cancer,(699|9|2),0,0.1,0.96,0.957739362661951,0.9542638157659109,0.9559605982168535
LFDA,breast_cancer,(699|9|2),0,0.2,0.9742857142857143,0.9682964094728801,0.9742484526967286,0.9711736444749484
LFDA,breast_cancer,(699|9|2),0,0.3,0.9714285714285714,0.9637896825396826,0.9742753623188405,0.9686615808889367
LMNN,breast_cancer,(699|9|2),0,0,0.9657142857142857,0.9676995798319328,0.9553988895382817,0.9611470860314524
LMNN,breast_cancer,(699|9|2),0,0.1,0.9628571428571429,0.9601912538949178,0.9584998572652013,0.9593354246543511
LMNN,breast_cancer,(699|9|2),0,0.2,0.9714285714285714,0.9677645151783083,0.9677645151783083,0.9677645151783083
LMNN,breast_cancer,(699|9|2),0,0.3,0.9571428571428572,0.9547641073080481,0.9489333722969024,0.9517512016248357
RCA_Supervised,vehicle,(846|18|4),0,0,0.5981087470449172,0.6028668743890518,0.6010764049416962,0.5994919746657078
RCA_Supervised,vehicle,(846|18|4),0,0.1,0.5721040189125296,0.575784430702914,0.5808779761904762,0.5780441491437616
RCA_Supervised,vehicle,(846|18|4),0,0.2,0.6312056737588653,0.6404221007796962,0.6387180327402651,0.638917119777565
RCA_Supervised,vehicle,(846|18|4),0,0.3,0.5791962174940898,0.5845765345765346,0.5772810591382467,0.5799374050298906
MMC_Supervised,vehicle,(846|18|4),0,0,0.6312056737588653,0.629326303601984,0.6440973230124173,0.6233391403066757
MMC_Supervised,vehicle,(846|18|4),0,0.1,0.6052009456264775,0.5985777472501028,0.6115567217035842,0.6007115397439531
MMC_Supervised,vehicle,(846|18|4),0,0.2,0.6170212765957447,0.6095481174624964,0.6151308344649467,0.6104754459126487
MMC_Supervised,vehicle,(846|18|4),0,0.3,0.6099290780141844,0.609627712036526,0.6103239242728731,0.6083343852143974
LSML_Supervised,vehicle,(846|18|4),0,0,0.6713947990543735,0.670723892273378,0.6899992796073935,0.6769230540067509
LSML_Supervised,vehicle,(846|18|4),0,0.1,0.6737588652482269,0.6611605177663866,0.6735728008540738,0.6653872239205704
LSML_Supervised,vehicle,(846|18|4),0,0.2,0.6713947990543735,0.6695845845845846,0.6904916480710832,0.6770798666043729
LSML_Supervised,vehicle,(846|18|4),0,0.3,0.6713947990543735,0.660841823335321,0.6609079493866512,0.6604115063382899
ITML_Supervised,vehicle,(846|18|4),0,0,0.7446808510638298,0.7410441123173408,0.7433670820353064,0.7386450096844712
ITML_Supervised,vehicle,(846|18|4),0,0.1,0.7281323877068558,0.7157978723404256,0.724909850624893,0.7191961288559698
ITML_Supervised,vehicle,(846|18|4),0,0.2,0.7304964539007093,0.7316311315385103,0.740634866386746,0.7270625547737811
ITML_Supervised,vehicle,(846|18|4),0,0.3,0.7541371158392435,0.7486835141316274,0.7574392998306042,0.7519040225586002
NCA,vehicle,(846|18|4),0,0,0.6501182033096927,0.6356914961433033,0.6489938187942998,0.6386631230103009
NCA,vehicle,(846|18|4),0,0.1,0.5933806146572104,0.5921819896337523,0.5976136951258311,0.5922381290340231
NCA,vehicle,(846|18|4),0,0.2,0.6052009456264775,0.6113609994896927,0.6074801881353011,0.6011388497577427
NCA,vehicle,(846|18|4),0,0.3,0.6004728132387707,0.5936707826385802,0.6096958240843507,0.5982163352851184
MLKR,vehicle,(846|18|4),0,0,0.6122931442080378,0.6042458090898872,0.617075898578594,0.6088743162337942
MLKR,vehicle,(846|18|4),0,0.1,0.6146572104018913,0.6051182936747718,0.6236493533583646,0.6107002477378645
